"subject","trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus","native","AOL","LearnType1","LearnType2","LearnType3","LearnType4","LearnType5","LearnType6","which","AOA","timespent","word1","word2","sameordiffstims","vowel_word1","vowel_word2","vowelcontrast","tributesto","tributesto2","trialType","cont"
"0p5y","html-keyboard-response",77,353873,"0.0-10.0-1.31",NA,NA,NA,NA,NA,396,"p","tour1500tuer","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tour","tuer",1,"u","y","u/y","u/y","0","different","u/y"
"0p5y","html-keyboard-response",79,358311,"0.0-10.0-1.32",NA,NA,NA,NA,NA,634,"q","stuhl1500stuhl","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","stuhl","stuhl",0,"u","u","u/u","u/i","0","same","u/u"
"0p5y","html-keyboard-response",81,362561,"0.0-10.0-1.33",NA,NA,NA,NA,NA,204,"q","siegel1500siegel","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","siegel","siegel",0,"i_long","i_long","i_long/i_long","i/e","0","same","i/i"
"0p5y","html-keyboard-response",83,367601,"0.0-10.0-1.34",NA,NA,NA,NA,NA,1044,"p","spulen1500spuelen","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spulen","spuelen",1,"u","y","u/y","u/y","0","different","u/y"
"0p5y","html-keyboard-response",85,371431,"0.0-10.0-1.35",NA,NA,NA,NA,NA,314,"q","biene1500biene","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","biene","biene",0,"i_long","i_long","i_long/i_long","y/i","0","same","i/i"
"0p5y","html-keyboard-response",87,375425,"0.0-10.0-1.36",NA,NA,NA,NA,NA,588,"p","tuer1500tour","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tuer","tour",1,"y","u","u/y","u/y","0","different","u/y"
"0p5y","html-keyboard-response",89,379219,"0.0-10.0-1.37",NA,NA,NA,NA,NA,282,"q","buehne1500buehne","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","buehne","buehne",0,"y","y","y/y","y/i","0","same","y/y"
"0p5y","html-keyboard-response",91,383727,"0.0-10.0-1.38",NA,NA,NA,NA,NA,490,"q","spielen1500spielen","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spielen","spielen",0,"i_long","i_long","i_long/i_long","u/i","y/i","same","i/i"
"0p5y","html-keyboard-response",93,387753,"0.0-10.0-1.39",NA,NA,NA,NA,NA,156,"q","siegel1500siegel","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","siegel","siegel",0,"i_long","i_long","i_long/i_long","i/e","0","same","i/i"
"0p5y","html-keyboard-response",95,392055,"0.0-10.0-1.40",NA,NA,NA,NA,NA,98,"p","spielen1500spulen","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spielen","spulen",1,"i_long","u","u/i_long","u/i","0","different","u/i"
"0p5y","html-keyboard-response",97,395867,"0.0-10.0-1.41",NA,NA,NA,NA,NA,450,"q","biene1500biene","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","biene","biene",0,"i_long","i_long","i_long/i_long","y/i","0","same","i/i"
"0p5y","html-keyboard-response",99,400142,"0.0-10.0-1.42",NA,NA,NA,NA,NA,805,"p","kiel1500kuehl","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","kiel","kuehl",1,"i_long","y","y/i_long","y/i","0","different","i/y"
"0p5y","html-keyboard-response",101,404492,"0.0-10.0-1.43",NA,NA,NA,NA,NA,314,"p","spielen1500spulen","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spielen","spulen",1,"i_long","u","u/i_long","u/i","0","different","u/i"
"0p5y","html-keyboard-response",103,408937,"0.0-10.0-1.44",NA,NA,NA,NA,NA,410,"p","spulen1500spielen","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spulen","spielen",1,"u","i_long","u/i_long","u/i","0","different","u/i"
"0p5y","html-keyboard-response",105,412903,"0.0-10.0-1.45",NA,NA,NA,NA,NA,456,"q","kuehl1500kuehl","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","kuehl","kuehl",0,"y","y","y/y","y/i","0","same","y/y"
"0p5y","html-keyboard-response",107,417103,"0.0-10.0-1.46",NA,NA,NA,NA,NA,176,"p","spielen1500spuelen","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spielen","spuelen",1,"i_long","y","y/i_long","y/i","0","different","i/y"
"0p5y","html-keyboard-response",109,421062,"0.0-10.0-1.47",NA,NA,NA,NA,NA,595,"q","tour1500tour","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tour","tour",0,"u","u","u/u","u/i","u/y","same","u/u"
"0p5y","html-keyboard-response",111,427816,"0.0-10.0-1.48",NA,NA,NA,NA,NA,2709,"q","segel1500segel","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","segel","segel",0,"e_long","e_long","e_long/e_long","i/e","0","same","e/e"
"0p5y","html-keyboard-response",113,432202,"0.0-10.0-1.49",NA,NA,NA,NA,NA,994,"q","buehne1500buehne","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","buehne","buehne",0,"y","y","y/y","y/i","0","same","y/y"
"0p5y","html-keyboard-response",115,436697,"0.0-10.0-1.50",NA,NA,NA,NA,NA,950,"q","lieder1500lieder","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","lieder","lieder",0,"i_long","i_long","i_long/i_long","i/e","0","same","i/i"
"0p5y","html-keyboard-response",117,441090,"0.0-10.0-1.51",NA,NA,NA,NA,NA,823,"q","bluten1500bluten","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","bluten","bluten",0,"u","u","u/u","u/y","0","same","u/u"
"0p5y","html-keyboard-response",119,445548,"0.0-10.0-1.52",NA,NA,NA,NA,NA,1241,"q","tour1500tour","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tour","tour",0,"u","u","u/u","u/i","u/y","same","u/u"
"0p5y","html-keyboard-response",121,449819,"0.0-10.0-1.53",NA,NA,NA,NA,NA,262,"q","spuelen1500spulen","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spuelen","spulen",1,"y","u","u/y","u/y","0","different","u/y"
"0p5y","html-keyboard-response",123,453715,"0.0-10.0-1.54",NA,NA,NA,NA,NA,418,"p","kuehl1500kiel","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","kuehl","kiel",1,"y","i_long","y/i_long","y/i","0","different","i/y"
"0p5y","html-keyboard-response",125,459087,"0.0-10.0-1.55",NA,NA,NA,NA,NA,1530,"p","spulen1500spuelen","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spulen","spuelen",1,"u","y","u/y","u/y","0","different","u/y"
"0p5y","html-keyboard-response",127,463144,"0.0-10.0-1.56",NA,NA,NA,NA,NA,397,"q","leder1500leder","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","leder","leder",0,"e_long","e_long","e_long/e_long","i/e","0","same","e/e"
"0p5y","html-keyboard-response",129,466975,"0.0-10.0-1.57",NA,NA,NA,NA,NA,608,"p","tuer1500tour","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tuer","tour",1,"y","u","u/y","u/y","0","different","u/y"
"0p5y","html-keyboard-response",131,471482,"0.0-10.0-1.58",NA,NA,NA,NA,NA,674,"q","spuelen1500spulen","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spuelen","spulen",1,"y","u","u/y","u/y","0","different","u/y"
"0p5y","html-keyboard-response",133,475603,"0.0-10.0-1.59",NA,NA,NA,NA,NA,636,"q","kiel1500kiel","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","kiel","kiel",0,"i_long","i_long","i_long/i_long","y/i","0","same","i/i"
"0p5y","html-keyboard-response",135,480057,"0.0-10.0-1.60",NA,NA,NA,NA,NA,450,"p","spuelen1500spielen","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spuelen","spielen",1,"y","i_long","y/i_long","y/i","0","different","i/y"
"0p5y","html-keyboard-response",137,483995,"0.0-10.0-1.61",NA,NA,NA,NA,NA,528,"q","bluten1500bluten","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","bluten","bluten",0,"u","u","u/u","u/y","0","same","u/u"
"0p5y","html-keyboard-response",139,489120,"0.0-10.0-1.62",NA,NA,NA,NA,NA,1613,"p","buehne1500biene","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","buehne","biene",1,"y","i_long","y/i_long","y/i","0","different","i/y"
"0p5y","html-keyboard-response",141,494325,"0.0-10.0-1.63",NA,NA,NA,NA,NA,1678,"p","lieder1500leder","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","lieder","leder",1,"i_long","e_long","e_long/i_long","i/e","0","different","e/i"
"0p5y","html-keyboard-response",143,499012,"0.0-10.0-1.64",NA,NA,NA,NA,NA,1345,"p","tour1500tier","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tour","tier",1,"u","i_long","u/i_long","u/i","0","different","u/i"
"0p5y","html-keyboard-response",145,503775,"0.0-10.0-1.65",NA,NA,NA,NA,NA,887,"q","segel1500segel","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","segel","segel",0,"e_long","e_long","e_long/e_long","i/e","0","same","e/e"
"0p5y","html-keyboard-response",147,508168,"0.0-10.0-1.66",NA,NA,NA,NA,NA,241,"q","spuelen1500spuelen","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spuelen","spuelen",0,"y","y","y/y","y/i","u/y","same","y/y"
"0p5y","html-keyboard-response",149,513351,"0.0-10.0-1.67",NA,NA,NA,NA,NA,1944,"p","tour1500tuer","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tour","tuer",1,"u","y","u/y","u/y","0","different","u/y"
"0p5y","html-keyboard-response",151,517354,"0.0-10.0-1.68",NA,NA,NA,NA,NA,787,"p","tier1500tour","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tier","tour",1,"i_long","u","u/i_long","u/i","0","different","u/i"
"0p5y","html-keyboard-response",153,521666,"0.0-10.0-1.69",NA,NA,NA,NA,NA,779,"q","leder1500leder","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","leder","leder",0,"e_long","e_long","e_long/e_long","i/e","0","same","e/e"
"0p5y","html-keyboard-response",155,525664,"0.0-10.0-1.70",NA,NA,NA,NA,NA,597,"q","blueten1500bluten","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","blueten","bluten",1,"y","u","u/y","u/y","0","different","u/y"
"0p5y","html-keyboard-response",157,529937,"0.0-10.0-1.71",NA,NA,NA,NA,NA,270,"q","spuelen1500spuelen","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spuelen","spuelen",0,"y","y","y/y","y/i","u/y","same","y/y"
"0p5y","html-keyboard-response",159,534300,"0.0-10.0-1.72",NA,NA,NA,NA,NA,1133,"q","tuer1500tuer","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tuer","tuer",0,"y","y","y/y","y/i","u/i","same","y/y"
"0p5y","html-keyboard-response",161,538456,"0.0-10.0-1.73",NA,NA,NA,NA,NA,629,"p","leder1500lieder","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","leder","lieder",1,"e_long","i_long","e_long/i_long","i/e","0","different","e/i"
"0p5y","html-keyboard-response",163,543074,"0.0-10.0-1.74",NA,NA,NA,NA,NA,826,"p","stuhl1500stiel","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","stuhl","stiel",1,"u","i_long","u/i_long","u/i","0","different","u/i"
